county_name,median_household_income,housing_units,state_fips,county_fips
"San Francisco County, California",136689,408198,06,075
"San Joaquin County, California",82837,252327,06,077
"San Luis Obispo County, California",90158,123968,06,079
"San Mateo County, California",149907,284211,06,081
"Santa Barbara County, California",92332,158807,06,083
"Santa Clara County, California",153792,688287,06,085
"Santa Cruz County, California",104409,106433,06,087
"Shasta County, California",68347,79626,06,089
"Sierra County, California",61108,2092,06,091
"Siskiyou County, California",53898,23013,06,093
"Solano County, California",97037,162513,06,095
"Sonoma County, California",99266,205393,06,097
"Stanislaus County, California",74872,183317,06,099
"Sutter County, California",72654,34560,06,101
"Tehama County, California",59029,27440,06,103
"Trinity County, California",47317,8201,06,105
"Tulare County, California",64474,151190,06,107
"Tuolumne County, California",70432,31447,06,109
"Ventura County, California",102141,293491,06,111
"Yolo County, California",85097,80533,06,113
"Yuba County, California",66693,29626,06,115
"Adams County, Colorado",86297,187811,08,001
"Alamosa County, Colorado",52271,7084,08,003
"Arapahoe County, Colorado",92292,262688,08,005
"Archuleta County, Colorado",66813,9591,08,007
"Baca County, Colorado",42115,1985,08,009
"Bent County, Colorado",45776,2151,08,011
"Boulder County, Colorado",99770,141007,08,013
"Broomfield County, Colorado",117541,31338,08,014
"Chaffee County, Colorado",65703,11072,08,015
"Cheyenne County, Colorado",65577,969,08,017
"Clear Creek County, Colorado",87169,5717,08,019
"Conejos County, Colorado",44093,4043,08,021
"Costilla County, Colorado",34578,2413,08,023
"Crowley County, Colorado",40685,1525,08,025
"Custer County, Colorado",66250,4189,08,027
"Delta County, Colorado",56349,14841,08,029
"Denver County, Colorado",85853,344760,08,031
"Dolores County, Colorado",64708,1704,08,033
"Douglas County, Colorado",139010,136554,08,035
"Eagle County, Colorado",98887,33054,08,037
"Elbert County, Colorado",124360,9898,08,039
"El Paso County, Colorado",82748,289809,08,041
"Fremont County, Colorado",56165,20302,08,043
"Garfield County, Colorado",82772,24313,08,045
"Gilpin County, Colorado",95902,3516,08,047
"Grand County, Colorado",79367,16731,08,049
"Gunnison County, Colorado",76538,12165,08,051
"Hinsdale County, Colorado",58712,1406,08,053
"Huerfano County, Colorado",49631,4738,08,055
"Jackson County, Colorado",38686,1186,08,057
"Jefferson County, Colorado",103167,248785,08,059
"Kiowa County, Colorado",45250,687,08,061
"Kit Carson County, Colorado",58992,3430,08,063
"Lake County, Colorado",78942,4010,08,065
"La Plata County, Colorado",81936,28233,08,067
"Larimer County, Colorado",87199,159083,08,069
"Las Animas County, Colorado",48965,8112,08,071
"Lincoln County, Colorado",59167,2373,08,073
"Logan County, Colorado",54864,8693,08,075
"Mesa County, Colorado",68077,67708,08,077
"Mineral County, Colorado",58929,1261,08,079
"Moffat County, Colorado",63983,6096,08,081
"Montezuma County, Colorado",61377,12269,08,083
"Montrose County, Colorado",62817,19122,08,085
"Morgan County, Colorado",70471,11566,08,087
"Otero County, Colorado",47500,8735,08,089
"Ouray County, Colorado",78750,3448,08,091
"Park County, Colorado",85019,14198,08,093
"Phillips County, Colorado",58474,2044,08,095
"Pitkin County, Colorado",96123,13300,08,097
"Prowers County, Colorado",49422,5473,08,099
"Pueblo County, Colorado",59436,72364,08,101
"Rio Blanco County, Colorado",69882,3274,08,103
"Rio Grande County, Colorado",57591,6561,08,105
"Routt County, Colorado",95144,16642,08,107
"Saguache County, Colorado",51946,3772,08,109
"San Juan County, Colorado",67344,729,08,111
