county_name,median_household_income,housing_units,state_fips,county_fips
"Benzie County, Michigan",71327,12173,26,019
"Berrien County, Michigan",60379,76948,26,021
"Branch County, Michigan",60600,20776,26,023
"Calhoun County, Michigan",58191,59634,26,025
"Cass County, Michigan",65183,25458,26,027
"Charlevoix County, Michigan",69764,17487,26,029
"Cheboygan County, Michigan",59557,17727,26,031
"Chippewa County, Michigan",58408,20349,26,033
"Clare County, Michigan",47816,21959,26,035
"Clinton County, Michigan",82594,32897,26,037
"Crawford County, Michigan",57998,10243,26,039
"Delta County, Michigan",53852,19815,26,041
"Dickinson County, Michigan",59651,13942,26,043
"Eaton County, Michigan",77158,47562,26,045
"Emmet County, Michigan",69690,21791,26,047
"Genesee County, Michigan",58594,183775,26,049
"Gladwin County, Michigan",53717,17001,26,051
"Gogebic County, Michigan",47913,10405,26,053
"Grand Traverse County, Michigan",75553,45840,26,055
"Gratiot County, Michigan",57934,16060,26,057
"Hillsdale County, Michigan",59425,21440,26,059
"Houghton County, Michigan",52736,18687,26,061
"Huron County, Michigan",54475,20402,26,063
"Ingham County, Michigan",62548,125391,26,065
"Ionia County, Michigan",71720,24674,26,067
"Iosco County, Michigan",46224,19943,26,069
"Iron County, Michigan",52241,8981,26,071
"Isabella County, Michigan",52638,28580,26,073
"Jackson County, Michigan",62581,69095,26,075
"Kalamazoo County, Michigan",67905,114093,26,077
"Kalkaska County, Michigan",56380,11656,26,079
"Kent County, Michigan",76247,264944,26,081
"Keweenaw County, Michigan",55560,2286,26,083
"Lake County, Michigan",45946,13460,26,085
"Lapeer County, Michigan",75402,36839,26,087
"Leelanau County, Michigan",82345,15474,26,089
"Lenawee County, Michigan",65484,43634,26,091
"Livingston County, Michigan",96135,78706,26,093
"Luce County, Michigan",51015,3852,26,095
"Mackinac County, Michigan",60620,10572,26,097
"Macomb County, Michigan",73876,369998,26,099
"Manistee County, Michigan",59467,15562,26,101
"Marquette County, Michigan",63115,33584,26,103
"Mason County, Michigan",60744,17451,26,105
"Mecosta County, Michigan",54132,20986,26,107
"Menominee County, Michigan",54074,13305,26,109
"Midland County, Michigan",73643,36927,26,111
"Missaukee County, Michigan",57667,8665,26,113
"Monroe County, Michigan",72573,65946,26,115
"Montcalm County, Michigan",61250,27949,26,117
"Montmorency County, Michigan",46345,8952,26,119
"Muskegon County, Michigan",61347,74639,26,121
"Newaygo County, Michigan",59065,24689,26,123
"Oakland County, Michigan",92620,555313,26,125
"Oceana County, Michigan",60691,15612,26,127
"Ogemaw County, Michigan",50377,15346,26,129
"Ontonagon County, Michigan",48316,5271,26,131
"Osceola County, Michigan",54875,12619,26,133
"Oscoda County, Michigan",48692,7749,26,135
"Otsego County, Michigan",62865,14881,26,137
"Ottawa County, Michigan",83932,114701,26,139
"Presque Isle County, Michigan",55986,9851,26,141
"Roscommon County, Michigan",49898,23182,26,143
"Saginaw County, Michigan",56579,86101,26,145
"St. Clair County, Michigan",66887,72234,26,147
"St. Joseph County, Michigan",62281,27198,26,149
"Sanilac County, Michigan",55740,21779,26,151
"Schoolcraft County, Michigan",55071,5987,26,153
"Shiawassee County, Michigan",62498,30230,26,155
"Tuscola County, Michigan",59815,23977,26,157
"Van Buren County, Michigan",65531,37076,26,159
"Washtenaw County, Michigan",84245,157103,26,161
"Wayne County, Michigan",57223,792169,26,163
"Wexford County, Michigan",58652,16478,26,165
"Aitkin County, Minnesota",56406,14197,27,001
"Anoka County, Minnesota",95782,138533,27,003
"Becker County, Minnesota",68683,19673,27,005
"Beltrami County, Minnesota",62173,21403,27,007
"Benton County, Minnesota",70346,17318,27,009
"Big Stone County, Minnesota",63024,2980,27,011
"Blue Earth County, Minnesota",70906,29264,27,013
"Brown County, Minnesota",67038,11765,27,015
"Carlton County, Minnesota",74660,15739,27,017
"Carver County, Minnesota",116308,40570,27,019
"Cass County, Minnesota",61970,24136,27,021
"Chippewa County, Minnesota",62112,5640,27,023
"Chisago County, Minnesota",97446,22443,27,025
"Clay County, Minnesota",75006,26987,27,027
"Clearwater County, Minnesota",62723,4464,27,029
"Cook County, Minnesota",71937,5982,27,031
"Cottonwood County, Minnesota",63586,5157,27,033
"Crow Wing County, Minnesota",65975,41796,27,035
"Dakota County, Minnesota",101360,174164,27,037
"Dodge County, Minnesota",92890,8334,27,039
"Douglas County, Minnesota",72472,21881,27,041
"Faribault County, Minnesota",64000,6915,27,043
"Fillmore County, Minnesota",73234,9609,27,045
"Freeborn County, Minnesota",65679,14150,27,047
"Goodhue County, Minnesota",78338,20905,27,049
"Grant County, Minnesota",67600,3166,27,051
"Hennepin County, Minnesota",92595,556973,27,053
"Houston County, Minnesota",71580,8725,27,055
"Hubbard County, Minnesota",67197,14729,27,057
"Isanti County, Minnesota",84063,16682,27,059
"Itasca County, Minnesota",63962,25595,27,061
"Jackson County, Minnesota",68368,4912,27,063
"Kanabec County, Minnesota",68995,7770,27,065
"Kandiyohi County, Minnesota",73285,20032,27,067
"Kittson County, Minnesota",66000,2282,27,069
"Koochiching County, Minnesota",59779,7440,27,071
"Lac qui Parle County, Minnesota",66967,3483,27,073
"Lake County, Minnesota",73860,7379,27,075
"Lake of the Woods County, Minnesota",61667,3436,27,077
"Le Sueur County, Minnesota",87180,12889,27,079
"Lincoln County, Minnesota",64750,3062,27,081
"Lyon County, Minnesota",68919,11188,27,083
"McLeod County, Minnesota",73296,15869,27,085
"Mahnomen County, Minnesota",52739,2569,27,087
"Marshall County, Minnesota",69396,4430,27,089
"Martin County, Minnesota",61674,9737,27,091
"Meeker County, Minnesota",75926,10618,27,093
"Mille Lacs County, Minnesota",68088,12875,27,095
"Morrison County, Minnesota",66264,16130,27,097
"Mower County, Minnesota",66972,16933,27,099
"Murray County, Minnesota",71500,4418,27,101
"Nicollet County, Minnesota",79113,13461,27,103
"Nobles County, Minnesota",62973,8424,27,105
"Norman County, Minnesota",65278,3213,27,107
"Olmsted County, Minnesota",90420,69216,27,109
"Otter Tail County, Minnesota",67990,36513,27,111
"Pennington County, Minnesota",71504,6673,27,113
"Pine County, Minnesota",65059,17017,27,115
"Pipestone County, Minnesota",68341,4339,27,117
"Polk County, Minnesota",69540,14672,27,119
"Pope County, Minnesota",71212,6375,27,121
"Ramsey County, Minnesota",78108,229364,27,123
"Red Lake County, Minnesota",73889,1872,27,125
"Redwood County, Minnesota",65617,7110,27,127
"Renville County, Minnesota",66313,6950,27,129
"Rice County, Minnesota",78214,25064,27,131
"Rock County, Minnesota",75060,4236,27,133
"Roseau County, Minnesota",70122,7159,27,135
"St. Louis County, Minnesota",66491,103719,27,137
"Scott County, Minnesota",118268,54650,27,139
"Sherburne County, Minnesota",99431,36034,27,141
"Sibley County, Minnesota",74781,6462,27,143
"Stearns County, Minnesota",73105,65786,27,145
"Steele County, Minnesota",79722,15731,27,147
"Stevens County, Minnesota",69737,4202,27,149
"Swift County, Minnesota",58362,4683,27,151
"Todd County, Minnesota",63216,12841,27,153
"Traverse County, Minnesota",63456,1889,27,155
"Wabasha County, Minnesota",75063,10183,27,157
"Wadena County, Minnesota",54747,6971,27,159
"Waseca County, Minnesota",71856,7899,27,161
"Washington County, Minnesota",110828,104880,27,163
"Watonwan County, Minnesota",65197,4879,27,165
"Wilkin County, Minnesota",67114,2992,27,167
"Winona County, Minnesota",66162,21702,27,169
"Wright County, Minnesota",102980,54942,27,171
"Yellow Medicine County, Minnesota",70605,4526,27,173
"Adams County, Mississippi",37271,14893,28,001
"Alcorn County, Mississippi",47716,16256,28,003
"Amite County, Mississippi",34866,7231,28,005
"Attala County, Mississippi",42680,8354,28,007
"Benton County, Mississippi",38750,4080,28,009
"Bolivar County, Mississippi",37845,13685,28,011
"Calhoun County, Mississippi",44505,6743,28,013
"Carroll County, Mississippi",42285,4946,28,015
"Chickasaw County, Mississippi",40224,7794,28,017
"Choctaw County, Mississippi",41887,4350,28,019
"Claiborne County, Mississippi",34282,3948,28,021
"Clarke County, Mississippi",46329,7631,28,023
"Clay County, Mississippi",37412,9018,28,025
"Coahoma County, Mississippi",36075,10200,28,027
"Copiah County, Mississippi",46889,12411,28,029
"Covington County, Mississippi",40164,8335,28,031
"DeSoto County, Mississippi",79666,72572,28,033
"Forrest County, Mississippi",49340,33542,28,035
"Franklin County, Mississippi",43942,4287,28,037
"George County, Mississippi",51349,10256,28,039
"Greene County, Mississippi",50000,5124,28,041
"Grenada County, Mississippi",45745,10408,28,043
"Hancock County, Mississippi",63623,22895,28,045
"Harrison County, Mississippi",55211,92309,28,047
"Hinds County, Mississippi",48596,106047,28,049
"Holmes County, Mississippi",28818,7569,28,051
"Humphreys County, Mississippi",31907,3551,28,053
"Issaquena County, Mississippi",17900,449,28,055
"Itawamba County, Mississippi",57252,10462,28,057
"Jackson County, Mississippi",60045,62473,28,059
"Jasper County, Mississippi",43914,8068,28,061
"Jefferson County, Mississippi",31544,3381,28,063
"Jefferson Davis County, Mississippi",36473,5659,28,065
"Jones County, Mississippi",49451,28620,28,067
"Kemper County, Mississippi",42947,3958,28,069
"Lafayette County, Mississippi",59748,28147,28,071
"Lamar County, Mississippi",67972,27319,28,073
"Lauderdale County, Mississippi",45649,33586,28,075
"Lawrence County, Mississippi",41096,5770,28,077
"Leake County, Mississippi",46669,9044,28,079
"Lee County, Mississippi",64479,37310,28,081
"Leflore County, Mississippi",33115,12666,28,083
"Lincoln County, Mississippi",47069,15817,28,085
"Lowndes County, Mississippi",53687,26973,28,087
"Madison County, Mississippi",79105,46174,28,089
"Marion County, Mississippi",38399,11164,28,091
"Marshall County, Mississippi",51431,15156,28,093
"Monroe County, Mississippi",51190,16739,28,095
"Montgomery County, Mississippi",36845,5281,28,097
"Neshoba County, Mississippi",47400,12081,28,099
"Newton County, Mississippi",49160,9113,28,101
"Noxubee County, Mississippi",42298,4745,28,103
"Oktibbeha County, Mississippi",42953,25185,28,105
"Panola County, Mississippi",47894,14647,28,107
"Pearl River County, Mississippi",54220,24869,28,109
"Perry County, Mississippi",48333,5453,28,111
"Pike County, Mississippi",40131,19014,28,113
"Pontotoc County, Mississippi",54414,13915,28,115
"Prentiss County, Mississippi",51578,11008,28,117
"Quitman County, Mississippi",31192,3065,28,119
"Rankin County, Mississippi",76460,63629,28,121
"Scott County, Mississippi",44968,11377,28,123
"Sharkey County, Mississippi",41000,1705,28,125
"Simpson County, Mississippi",50867,11643,28,127
"Smith County, Mississippi",51983,6690,28,129
"Stone County, Mississippi",55894,7536,28,131
"Sunflower County, Mississippi",37403,9426,28,133
"Tallahatchie County, Mississippi",35428,5486,28,135
"Tate County, Mississippi",61286,11397,28,137
"Tippah County, Mississippi",47968,9891,28,139
"Tishomingo County, Mississippi",45545,10522,28,141
"Tunica County, Mississippi",41676,4637,28,143
"Union County, Mississippi",55970,12132,28,145
"Walthall County, Mississippi",37145,6882,28,147
"Warren County, Mississippi",54117,21533,28,149
"Washington County, Mississippi",38394,20927,28,151
"Wayne County, Mississippi",34875,9086,28,153
"Webster County, Mississippi",55657,5064,28,155
"Wilkinson County, Mississippi",34928,4600,28,157
"Winston County, Mississippi",45516,8228,28,159
"Yalobusha County, Mississippi",47006,6437,28,161
"Yazoo County, Mississippi",41867,10418,28,163
"Adair County, Missouri",51020,11354,29,001
"Andrew County, Missouri",68774,7532,29,003
"Atchison County, Missouri",58521,2746,29,005
"Audrain County, Missouri",51745,10563,29,007
"Barry County, Missouri",55592,17030,29,009
"Barton County, Missouri",48105,5311,29,011
"Bates County, Missouri",54122,7225,29,013
"Benton County, Missouri",50229,13591,29,015
"Bollinger County, Missouri",52306,5079,29,017
"Boone County, Missouri",66564,80187,29,019
"Buchanan County, Missouri",58303,38368,29,021
"Butler County, Missouri",47245,19336,29,023
"Caldwell County, Missouri",58269,4260,29,025
"Callaway County, Missouri",70599,18573,29,027
"Camden County, Missouri",59834,39729,29,029
"Cape Girardeau County, Missouri",65070,35506,29,031
"Carroll County, Missouri",59101,4381,29,033
"Carter County, Missouri",45737,2705,29,035
"Cass County, Missouri",82473,44013,29,037
"Cedar County, Missouri",43589,6953,29,039
"Chariton County, Missouri",61910,3819,29,041
"Christian County, Missouri",75787,35348,29,043
"Clark County, Missouri",53362,3237,29,045
"Clay County, Missouri",82264,105571,29,047
"Clinton County, Missouri",66494,8955,29,049
"Cole County, Missouri",70667,33304,29,051
"Cooper County, Missouri",62239,7305,29,053
"Crawford County, Missouri",52367,11435,29,055
"Dade County, Missouri",46806,3792,29,057
"Dallas County, Missouri",46547,7597,29,059
"Daviess County, Missouri",59706,4125,29,061
"DeKalb County, Missouri",67910,4255,29,063
"Dent County, Missouri",51410,6849,29,065
"Douglas County, Missouri",47848,5419,29,067
"Dunklin County, Missouri",44868,13492,29,069
"Franklin County, Missouri",70111,45420,29,071
"Gasconade County, Missouri",62638,7615,29,073
"Gentry County, Missouri",53799,2934,29,075
"Greene County, Missouri",54968,136889,29,077
"Grundy County, Missouri",51045,4848,29,079
"Harrison County, Missouri",51809,4041,29,081
"Henry County, Missouri",54903,10704,29,083
"Hickory County, Missouri",33302,5547,29,085
"Holt County, Missouri",55153,2440,29,087
"Howard County, Missouri",59023,4387,29,089
"Howell County, Missouri",46401,18081,29,091
"Iron County, Missouri",53401,4730,29,093
"Jackson County, Missouri",65169,330584,29,095
"Jasper County, Missouri",54963,53018,29,097
"Jefferson County, Missouri",77217,92590,29,099
"Johnson County, Missouri",62503,22605,29,101
"Knox County, Missouri",49167,1952,29,103
"Laclede County, Missouri",49202,15935,29,105
"Lafayette County, Missouri",78397,14151,29,107
"Lawrence County, Missouri",52225,16267,29,109
"Lewis County, Missouri",49779,4334,29,111
"Lincoln County, Missouri",82543,23363,29,113
"Linn County, Missouri",58435,6011,29,115
"Livingston County, Missouri",58772,6394,29,117
"McDonald County, Missouri",46494,9782,29,119
"Macon County, Missouri",54113,7442,29,121
"Madison County, Missouri",54042,5854,29,123
"Maries County, Missouri",56491,4290,29,125
"Marion County, Missouri",62492,12874,29,127
"Mercer County, Missouri",55592,1929,29,129
"Miller County, Missouri",53490,12501,29,131
"Mississippi County, Missouri",40833,5303,29,133
"Moniteau County, Missouri",66792,6178,29,135
"Monroe County, Missouri",50245,4493,29,137
"Montgomery County, Missouri",58660,5798,29,139
"Morgan County, Missouri",48841,15171,29,141
"New Madrid County, Missouri",44092,7919,29,143
"Newton County, Missouri",60313,24636,29,145
"Nodaway County, Missouri",53917,9465,29,147
"Oregon County, Missouri",41365,4380,29,149
"Osage County, Missouri",70313,6503,29,151
"Ozark County, Missouri",39125,5059,29,153
"Pemiscot County, Missouri",37426,7542,29,155
"Perry County, Missouri",61486,8491,29,157
"Pettis County, Missouri",57581,18562,29,159
"Phelps County, Missouri",53242,20194,29,161
"Pike County, Missouri",53363,7623,29,163
"Platte County, Missouri",92543,45378,29,165
"Polk County, Missouri",54487,13410,29,167
"Pulaski County, Missouri",62541,19325,29,169
"Putnam County, Missouri",50950,2845,29,171
"Ralls County, Missouri",62615,5050,29,173
"Randolph County, Missouri",51480,10801,29,175
"Ray County, Missouri",69779,9878,29,177
"Reynolds County, Missouri",43856,3498,29,179
"Ripley County, Missouri",42541,5236,29,181
"St. Charles County, Missouri",99596,161979,29,183
"St. Clair County, Missouri",43483,5309,29,185
"Ste. Genevieve County, Missouri",61215,8319,29,186
"St. Francois County, Missouri",53083,28780,29,187
"St. Louis County, Missouri",78067,444860,29,189
"Saline County, Missouri",55396,9872,29,195
"Schuyler County, Missouri",53728,1900,29,197
"Scotland County, Missouri",58656,2219,29,199
"Scott County, Missouri",54621,16803,29,201
"Shannon County, Missouri",46767,3542,29,203
"Shelby County, Missouri",50387,2966,29,205
"Stoddard County, Missouri",51703,13416,29,207
"Stone County, Missouri",58392,20102,29,209
"Sullivan County, Missouri",53438,3057,29,211
"Taney County, Missouri",54467,29643,29,213
"Texas County, Missouri",42870,11042,29,215
"Vernon County, Missouri",53318,8965,29,217
"Warren County, Missouri",75531,15530,29,219
"Washington County, Missouri",49364,10740,29,221
"Wayne County, Missouri",42758,6215,29,223
"Webster County, Missouri",65103,15290,29,225
"Worth County, Missouri",43536,1120,29,227
"Wright County, Missouri",43573,8374,29,229
"St. Louis city, Missouri",52941,173792,29,510
"Beaverhead County, Montana",55867,4964,30,001
"Big Horn County, Montana",52463,4531,30,003
"Blaine County, Montana",58507,2825,30,005
"Broadwater County, Montana",61679,3137,30,007
"Carbon County, Montana",66780,6399,30,009
"Carter County, Montana",46486,784,30,011
"Cascade County, Montana",61351,39022,30,013
"Chouteau County, Montana",51791,2847,30,015
"Custer County, Montana",61114,5770,30,017
"Daniels County, Montana",47378,1129,30,019
"Dawson County, Montana",68168,4381,30,021
"Deer Lodge County, Montana",46436,5485,30,023
"Fallon County, Montana",79750,1457,30,025
"Fergus County, Montana",58321,6009,30,027
"Flathead County, Montana",68025,50252,30,029
"Gallatin County, Montana",83434,53605,30,031
"Garfield County, Montana",61786,752,30,033
"Glacier County, Montana",41078,5342,30,035
"Golden Valley County, Montana",54792,472,30,037
"Granite County, Montana",53917,2615,30,039
"Hill County, Montana",58427,7236,30,041
"Jefferson County, Montana",73875,5359,30,043
"Judith Basin County, Montana",58750,1291,30,045
"Lake County, Montana",58009,16436,30,047
"Lewis and Clark County, Montana",71967,33589,30,049
"Liberty County, Montana",48047,877,30,051
"Lincoln County, Montana",44593,10993,30,053
"McCone County, Montana",79022,1093,30,055
"Madison County, Montana",61226,6424,30,057
"Meagher County, Montana",55753,1421,30,059
"Mineral County, Montana",56098,2565,30,061
"Missoula County, Montana",66840,55084,30,063
"Musselshell County, Montana",54875,2677,30,065
"Park County, Montana",67602,9564,30,067
"Petroleum County, Montana",57981,292,30,069
"Phillips County, Montana",61250,2239,30,071
"Pondera County, Montana",59861,2751,30,073
"Powder River County, Montana",60313,1015,30,075
"Powell County, Montana",60994,2930,30,077
"Prairie County, Montana",44107,650,30,079
"Ravalli County, Montana",67424,21007,30,081
"Richland County, Montana",67515,5559,30,083
"Roosevelt County, Montana",51038,4076,30,085
"Rosebud County, Montana",57656,3807,30,087
"Sanders County, Montana",47110,6813,30,089
"Sheridan County, Montana",67457,2051,30,091
"Silver Bow County, Montana",56297,17303,30,093
"Stillwater County, Montana",78380,4657,30,095
"Sweet Grass County, Montana",64872,1870,30,097
"Teton County, Montana",65224,2938,30,099
"Toole County, Montana",54040,2329,30,101
"Treasure County, Montana",70096,456,30,103
"Valley County, Montana",59725,4274,30,105
"Wheatland County, Montana",48272,1175,30,107
"Wibaux County, Montana",58750,599,30,109
"Yellowstone County, Montana",72300,72252,30,111
"Adams County, Nebraska",61502,13804,31,001
"Antelope County, Nebraska",61924,3142,31,003
"Arthur County, Nebraska",66667,234,31,005
"Banner County, Nebraska",62375,359,31,007
"Blaine County, Nebraska",52083,294,31,009
"Boone County, Nebraska",66800,2559,31,011
"Box Butte County, Nebraska",67893,5226,31,013
"Boyd County, Nebraska",57120,1210,31,015
"Brown County, Nebraska",44267,1656,31,017
"Buffalo County, Nebraska",70093,21019,31,019
"Burt County, Nebraska",54950,3340,31,021
"Butler County, Nebraska",75690,4032,31,023
"Cass County, Nebraska",87673,11693,31,025
"Cedar County, Nebraska",72035,3915,31,027
"Chase County, Nebraska",57313,1876,31,029
"Cherry County, Nebraska",62373,2998,31,031
"Cheyenne County, Nebraska",54038,4892,31,033
"Clay County, Nebraska",73933,2834,31,035
"Colfax County, Nebraska",71205,3996,31,037
"Cuming County, Nebraska",68917,4133,31,039
"Custer County, Nebraska",62288,5341,31,041
"Dakota County, Nebraska",66112,7767,31,043
"Dawes County, Nebraska",53760,4024,31,045
"Dawson County, Nebraska",67462,9856,31,047
"Deuel County, Nebraska",58875,1058,31,049
"Dixon County, Nebraska",60568,2518,31,051
"Dodge County, Nebraska",66793,16348,31,053
"Douglas County, Nebraska",76083,245839,31,055
"Dundy County, Nebraska",58977,999,31,057
"Fillmore County, Nebraska",72335,2742,31,059
"Franklin County, Nebraska",55625,1546,31,061
"Frontier County, Nebraska",62928,1367,31,063
"Furnas County, Nebraska",58895,2531,31,065
"Gage County, Nebraska",60035,10364,31,067
"Garden County, Nebraska",47139,1139,31,069
"Garfield County, Nebraska",64957,1006,31,071
"Gosper County, Nebraska",76583,1193,31,073
"Grant County, Nebraska",65139,396,31,075
"Greeley County, Nebraska",52813,1198,31,077
"Hall County, Nebraska",63553,25256,31,079
"Hamilton County, Nebraska",73254,4105,31,081
"Harlan County, Nebraska",64583,1923,31,083
"Hayes County, Nebraska",59405,484,31,085
"Hitchcock County, Nebraska",49456,1580,31,087
"Holt County, Nebraska",66325,4903,31,089
"Hooker County, Nebraska",43333,414,31,091
"Howard County, Nebraska",70766,2893,31,093
"Jefferson County, Nebraska",54494,3683,31,095
"Johnson County, Nebraska",64352,2088,31,097
"Kearney County, Nebraska",74276,2970,31,099
"Keith County, Nebraska",59511,5370,31,101
"Keya Paha County, Nebraska",63977,493,31,103
"Kimball County, Nebraska",53151,1807,31,105
"Knox County, Nebraska",61250,4532,31,107
"Lancaster County, Nebraska",70387,136167,31,109
"Lincoln County, Nebraska",63019,16573,31,111
"Logan County, Nebraska",69250,371,31,113
"Loup County, Nebraska",50000,434,31,115
"McPherson County, Nebraska",58250,240,31,117
"Madison County, Nebraska",61139,15213,31,119
"Merrick County, Nebraska",57873,3567,31,121
"Morrill County, Nebraska",57325,2281,31,123
"Nance County, Nebraska",60054,1622,31,125
"Nemaha County, Nebraska",57196,3312,31,127
"Nuckolls County, Nebraska",66000,2228,31,129
"Otoe County, Nebraska",73031,6971,31,131
"Pawnee County, Nebraska",55833,1418,31,133
"Perkins County, Nebraska",61786,1368,31,135
"Phelps County, Nebraska",65114,4163,31,137
"Pierce County, Nebraska",65603,3141,31,139
"Platte County, Nebraska",69943,14085,31,141
"Polk County, Nebraska",67695,2537,31,143
"Red Willow County, Nebraska",58344,5175,31,145
"Richardson County, Nebraska",50321,4099,31,147
"Rock County, Nebraska",57566,829,31,149
"Saline County, Nebraska",71104,5734,31,151
"Sarpy County, Nebraska",95911,73715,31,153
"Saunders County, Nebraska",84474,10032,31,155
"Scotts Bluff County, Nebraska",60137,16486,31,157
"Seward County, Nebraska",79677,7099,31,159
"Sheridan County, Nebraska",53609,2724,31,161
"Sherman County, Nebraska",60194,1800,31,163
"Sioux County, Nebraska",50833,691,31,165
"Stanton County, Nebraska",76035,2478,31,167
"Thayer County, Nebraska",60305,2520,31,169
"Thomas County, Nebraska",70069,370,31,171
"Thurston County, Nebraska",63459,2294,31,173
"Valley County, Nebraska",62321,2112,31,175
"Washington County, Nebraska",89671,8608,31,177
"Wayne County, Nebraska",64951,3956,31,179
"Webster County, Nebraska",62571,1783,31,181
"Wheeler County, Nebraska",59167,574,31,183
"York County, Nebraska",72914,6308,31,185
"Churchill County, Nevada",69922,10829,32,001
"Clark County, Nevada",69911,923275,32,003
"Douglas County, Nevada",84262,24417,32,005
"Elko County, Nevada",87755,21838,32,007
"Esmeralda County, Nevada",40694,732,32,009
"Eureka County, Nevada",73929,997,32,011
"Humboldt County, Nevada",75574,7671,32,013
"Lander County, Nevada",92388,2802,32,015
"Lincoln County, Nevada",67412,2292,32,017
"Lyon County, Nevada",70026,24582,32,019
"Mineral County, Nevada",46625,2403,32,021
"Nye County, Nevada",53602,25017,32,023
"Pershing County, Nevada",66304,2297,32,027
"Storey County, Nevada",86932,1934,32,029
"Washoe County, Nevada",81531,208480,32,031
"White Pine County, Nevada",71297,4158,32,033
"Carson City, Nevada",67465,24633,32,510
"Belknap County, New Hampshire",80719,38478,33,001
"Carroll County, New Hampshire",77049,39889,33,003
"Cheshire County, New Hampshire",76551,35706,33,005
"Coos County, New Hampshire",55247,20570,33,007
"Grafton County, New Hampshire",79949,51191,33,009
"Hillsborough County, New Hampshire",95112,175630,33,011
"Merrimack County, New Hampshire",88806,65744,33,013
"Rockingham County, New Hampshire",110225,135585,33,015
"Strafford County, New Hampshire",83212,55672,33,017
"Sullivan County, New Hampshire",70788,21870,33,019
"Atlantic County, New Jersey",73113,131786,34,001
"Bergen County, New Jersey",118714,367059,34,003
"Burlington County, New Jersey",102615,184859,34,005
"Camden County, New Jersey",82005,212477,34,007
"Cape May County, New Jersey",83870,99525,34,009
"Cumberland County, New Jersey",62310,57143,34,011
"Essex County, New Jersey",73785,334136,34,013
"Gloucester County, New Jersey",99668,117041,34,015
"Hudson County, New Jersey",86854,311964,34,017
"Hunterdon County, New Jersey",133534,51684,34,019
"Mercer County, New Jersey",92697,150035,34,021
"Middlesex County, New Jersey",105206,314752,34,023
"Monmouth County, New Jersey",118527,268751,34,025
"Morris County, New Jersey",130808,197541,34,027
"Ocean County, New Jersey",82379,293899,34,029
"Passaic County, New Jersey",84465,184830,34,031
"Salem County, New Jersey",73378,27739,34,033
"Somerset County, New Jersey",131948,131989,34,035
"Sussex County, New Jersey",111094,62709,34,037
"Union County, New Jersey",95000,209928,34,039
"Warren County, New Jersey",92620,46493,34,041
"Bernalillo County, New Mexico",62220,299693,35,001
"Catron County, New Mexico",44777,3205,35,003
"Chaves County, New Mexico",49673,26727,35,005
"Cibola County, New Mexico",49866,11141,35,006
"Colfax County, New Mexico",46286,9554,35,007
"Curry County, New Mexico",55427,21155,35,009
"De Baca County, New Mexico",34702,1154,35,011
"Doña Ana County, New Mexico",51232,90294,35,013
"Eddy County, New Mexico",77458,26261,35,015
"Grant County, New Mexico",44895,14625,35,017
"Guadalupe County, New Mexico",38713,2162,35,019
"Harding County, New Mexico",39489,457,35,021
"Hidalgo County, New Mexico",53651,2215,35,023
"Lea County, New Mexico",65855,27854,35,025
"Lincoln County, New Mexico",47919,17698,35,027
"Los Alamos County, New Mexico",135801,8631,35,028
"Luna County, New Mexico",38241,11514,35,029
"McKinley County, New Mexico",44029,25180,35,031
"Mora County, New Mexico",40231,3092,35,033
"Otero County, New Mexico",50833,32244,35,035
"Quay County, New Mexico",38998,5491,35,037
"Rio Arriba County, New Mexico",52031,19616,35,039
"Roosevelt County, New Mexico",52644,8511,35,041
"Sandoval County, New Mexico",76424,58915,35,043
"San Juan County, New Mexico",50734,48050,35,045
"San Miguel County, New Mexico",43490,14860,35,047
"Santa Fe County, New Mexico",70522,76714,35,049
"Sierra County, New Mexico",35256,8115,35,051
"Socorro County, New Mexico",40699,7621,35,053
"Taos County, New Mexico",55145,20950,35,055
"Torrance County, New Mexico",50727,7230,35,057
"Union County, New Mexico",41714,2091,35,059
"Valencia County, New Mexico",56246,30129,35,061
"Albany County, New York",78829,146137,36,001
"Allegany County, New York",58725,23636,36,003
"Bronx County, New York",47036,547816,36,005
"Broome County, New York",58317,92596,36,007
"Cattaraugus County, New York",56889,40254,36,009
"Cayuga County, New York",63227,36701,36,011
"Chautauqua County, New York",54625,66350,36,013
"Chemung County, New York",61358,39035,36,015
"Chenango County, New York",61741,24384,36,017
"Clinton County, New York",67097,37309,36,019
"Columbia County, New York",81741,33292,36,021
"Cortland County, New York",65029,20803,36,023
"Delaware County, New York",58338,30092,36,025
"Dutchess County, New York",94578,122129,36,027
"Erie County, New York",68014,438630,36,029
"Essex County, New York",68090,25262,36,031
"Franklin County, New York",60270,25352,36,033
"Fulton County, New York",60557,28164,36,035
"Genesee County, New York",68178,26039,36,037
"Greene County, New York",70294,29007,36,039
"Hamilton County, New York",66891,7920,36,041
"Herkimer County, New York",68104,32445,36,043
"Jefferson County, New York",62782,61573,36,045
"Kings County, New York",74692,1079551,36,047
"Lewis County, New York",64401,15501,36,049
"Livingston County, New York",70443,27150,36,051
"Madison County, New York",68869,30671,36,053
"Monroe County, New York",71450,336324,36,055
"Montgomery County, New York",58033,22924,36,057
"Nassau County, New York",137709,476982,36,059
"New York County, New York",99880,913058,36,061
"Niagara County, New York",65882,100182,36,063
"Oneida County, New York",66402,105054,36,065
"Onondaga County, New York",71479,211312,36,067
