,geo_id,county_name,military_count,total_military_area_m,pct_military
241,28075,Lauderdale County,1,29945759.878676392,0.01616733170082663
242,28087,Lowndes County,1,17767777.09651428,0.013267133164406343
243,28097,Montgomery County,1,47491.348576930504,4.4954689005345654e-05
244,28103,Noxubee County,1,3528321.7825032533,0.0019456146372592588
245,28111,Perry County,1,481483795.9342699,0.2859143536260381
246,28121,Rankin County,1,487991.87954126945,0.0002337403157151656
247,29021,Buchanan County,1,361608.46854379657,0.0003362848031078553
248,29023,Butler County,1,8284635.445245804,0.004575624195942535
249,29029,Camden County,1,1296538.8929085482,0.0007064526855272547
250,29051,Cole County,1,1906673.0404671133,0.0018453859746233351
251,29077,Greene County,1,434055.99525758,0.0002472265796805356
252,29095,Jackson County,1,17512367.45745829,0.010970463014159956
253,29099,Jefferson County,1,139246.15777287137,8.098585910711756e-05
254,29101,Johnson County,1,21260148.333488103,0.009851981695614243
255,29105,Laclede County,1,75061.19642164517,3.773354546765285e-05
256,29119,McDonald County,1,12794.214598651495,9.15392170827365e-06
257,29121,Macon County,1,12451559.671510955,0.005917954466047861
258,29145,Newton County,1,17368165.73319495,0.01070244946756256
259,29169,Pulaski County,1,249570318.37146592,0.17472908057891884
260,29215,Texas County,1,68876.18154957192,2.2551462649095884e-05
261,29217,Vernon County,1,5101770.234510803,0.0023539048553668017
262,29510,St. Louis City,1,126167.34200781118,0.0007361746395285682
263,30007,Broadwater County,1,86268344.77776898,0.02690266817577357
264,30013,Cascade County,2,13822361.377766438,0.001968258376870951
265,30049,Lewis and Clark County,2,26794933.08079962,0.0029579351661825222
266,31001,Adams County,1,5366704.2638974,0.0036724277225172602
267,31035,Clay County,1,7956605.636959524,0.005356332207110017
268,31079,Hall County,1,201895.27470779518,0.00014118084948681233
269,31109,Lancaster County,2,726126.7926705892,0.0003312440709299334
270,31153,Sarpy County,2,9679958.093696484,0.015099126302779839
271,31155,Saunders County,2,7104559.624502098,0.0036101780864064813
272,32001,Churchill County,5,651731256.6847758,0.050088513830728015
273,32003,Clark County,5,2081031603.7592854,0.09967727213642
274,32007,Elko County,1,78796.82023392881,1.7685765377201184e-06
275,32017,Lincoln County,1,2609260567.6830726,0.09470949913993718
276,32021,Mineral County,1,591147646.2212948,0.05988341172134455
277,32023,Nye County,1,7629966481.919117,0.1618776742169443
