,GEOID,NAMELSAD
2051,37135,Orange County
2052,18131,Pulaski County
2053,26019,Benzie County
2054,72087,Loíza Municipio
2055,16071,Oneida County
2056,17139,Moultrie County
2057,21107,Hopkins County
2058,16035,Clearwater County
2059,21013,Bell County
2060,27035,Crow Wing County
2061,60050,Western District
2062,72011,Añasco Municipio
2063,04009,Graham County
2064,30017,Custer County
2065,46109,Roberts County
2066,17141,Ogle County
2067,38077,Richland County
2068,55005,Barron County
2069,55051,Iron County
2070,27157,Wabasha County
2071,06015,Del Norte County
2072,40127,Pushmataha County
2073,53007,Chelan County
2074,26141,Presque Isle County
2075,40027,Cleveland County
2076,36105,Sullivan County
2077,37149,Polk County
2078,37165,Scotland County
2079,37085,Harnett County
2080,37105,Lee County
2081,18159,Tipton County
2082,20027,Clay County
2083,20121,Miami County
2084,13091,Dodge County
2085,36023,Cortland County
2086,13039,Camden County
2087,26161,Washtenaw County
2088,18087,LaGrange County
2089,48371,Pecos County
2090,13225,Peach County
2091,13311,White County
2092,13163,Jefferson County
2093,55083,Oconto County
2094,31065,Furnas County
2095,01069,Houston County
2096,40103,Noble County
2097,20063,Gove County
2098,22077,Pointe Coupee Parish
2099,31067,Gage County
2100,01115,St. Clair County
2101,28123,Scott County
2102,13095,Dougherty County
2103,18061,Harrison County
2104,16017,Bonner County
2105,13047,Catoosa County
2106,55105,Rock County
2107,45077,Pickens County
2108,53013,Columbia County
2109,18023,Clinton County
2110,17027,Clinton County
2111,16067,Minidoka County
2112,42113,Sullivan County
2113,28121,Rankin County
2114,48345,Motley County
2115,41039,Lane County
2116,48485,Wichita County
2117,26155,Shiawassee County
2118,20089,Jewell County
2119,20123,Mitchell County
2120,12007,Bradford County
2121,28091,Marion County
2122,28039,George County
2123,27085,McLeod County
2124,55033,Dunn County
2125,08027,Custer County
2126,29123,Madison County
2127,48353,Nolan County
2128,42127,Wayne County
2129,36091,Saratoga County
2130,48041,Brazos County
2131,40095,Marshall County
2132,24001,Allegany County
2133,54103,Wetzel County
2134,55053,Jackson County
2135,41007,Clatsop County
2136,53041,Lewis County
2137,36003,Allegany County
2138,19031,Cedar County
2139,18117,Orange County
2140,13089,DeKalb County
2141,13227,Pickens County
2142,30015,Chouteau County
2143,31017,Brown County
2144,47013,Campbell County
2145,37069,Franklin County
2146,24510,Baltimore city
2147,20111,Lyon County
