geo_id,county_name,total_energy_consumption_mwh,,,
46102,Oglala Lakota County,"207,690",,,
2170,Matanuska-Susitna Borough,"933,097",,,
18035,Delaware County,"1,659,961",,,
12075,Levy County,"492,156",,,
72063,Gurabo Municipio,"224,398",,,
72065,Hatillo Municipio,"210,805",,,
28045,Hancock County,"776,884",,,
13315,Wilcox County,"121,192",,,
22081,Red River Parish,"171,059",,,
47093,Knox County,"7,346,877",,,
23017,Oxford County,"468,053",,,
25021,Norfolk County,"5,179,974",,,
18063,Hendricks County,"2,704,602",,,
17077,Jackson County,"571,471",,,
45043,Georgetown County,"1,014,992",,,
38041,Hettinger County,"96,938",,,
49019,Grand County,"99,311",,,
49045,Tooele County,"374,612",,,
51650,Hampton city,"2,214,196",,,
55011,Buffalo County,"156,864",,,
51069,Frederick County,"1,524,675",,,
54041,Lewis County,"318,904",,,
27119,Polk County,"359,161",,,
27127,Redwood County,"177,096",,,
47047,Fayette County,"617,729",,,
60040,Swains Island,,,,
41041,Lincoln County,"700,679",,,
23031,York County,"1,754,839",,,
46029,Codington County,"424,672",,,
13231,Pike County,"257,080",,,
13259,Stewart County,"73,297",,,
34025,Monmouth County,"5,095,022",,,
5021,Clay County,"247,016",,,
5045,Faulkner County,"2,150,961",,,
40041,Delaware County,"754,408",,,
19107,Keokuk County,"176,260",,,
17061,Greene County,"129,751",,,
27075,Lake County,"124,317",,,
13285,Troup County,"962,177",,,
6023,Humboldt County,"848,757",,,
47043,Dickson County,"802,168",,,
54081,Raleigh County,"1,369,937",,,
35005,Chaves County,"956,772",,,
35049,Santa Fe County,"2,290,814",,,
6059,Orange County,"19,810,301",,,
4023,Santa Cruz County,"588,926",,,
37053,Currituck County,"358,101",,,
17101,Lawrence County,"164,651",,,
31181,Webster County,"63,135",,,
17067,Hancock County,"188,978",,,
46067,Hutchinson County,"111,268",,,
41013,Crook County,"341,445",,,
50011,Franklin County,"422,019",,,
26103,Marquette County,"656,018",,,
37057,Davidson County,"2,241,275",,,
17025,Clay County,"141,739",,,
29103,Knox County,"48,522",,,
29117,Livingston County,"192,459",,,
42117,Tioga County,"453,930",,,
31043,Dakota County,"390,401",,,
26089,Leelanau County,"218,974",,,
51181,Surry County,"105,274",,,
29135,Moniteau County,"201,722",,,
51193,Westmoreland County,"293,928",,,
37197,Yadkin County,"483,069",,,
6047,Merced County,"1,823,208",,,
40043,Dewey County,"84,326",,,
37023,Burke County,"1,141,260",,,
37191,Wayne County,"1,523,125",,,
42123,Warren County,"428,542",,,
5061,Howard County,"217,244",,,
37059,Davie County,"552,481",,,
37111,McDowell County,"578,246",,,
5099,Nevada County,"140,516",,,
8125,Yuma County,"97,303",,,
48421,Sherman County,"39,597",,,
48463,Uvalde County,"418,618",,,
39011,Auglaize County,"615,215",,,
22015,Bossier Parish,"2,839,838",,,
19063,Emmet County,"165,439",,,
20169,Saline County,"773,859",,,
21153,Magoffin County,"195,946",,,
48017,Bailey County,"117,061",,,
29027,Callaway County,"570,270",,,
56001,Albany County,"1,109,701",,,
56029,Park County,"882,264",,,
42093,Montour County,"201,042",,,
36081,Queens County,"16,560,358",,,
12121,Suwannee County,"505,182",,,
26031,Cheboygan County,"252,464",,,
1111,Randolph County,"383,580",,,
37009,Ashe County,"345,413",,,
8033,Dolores County,"22,388",,,
39089,Licking County,"2,410,760",,,
51683,Manassas city,"683,265",,,
5139,Union County,"661,505",,,
17071,Henderson County,"69,044",,,
1101,Montgomery County,"3,949,577",,,
8005,Arapahoe County,"6,417,149",,,
21155,Marion County,"324,244",,,
28051,Holmes County,"291,778",,,
28105,Oktibbeha County,"868,735",,,
72037,Ceiba Municipio,"62,378",,,
72047,Corozal Municipio,"188,451",,,
30027,Fergus County,"158,203",,,
24023,Garrett County,"279,890",,,
22119,Webster Parish,"820,608",,,
26059,Hillsdale County,"449,473",,,
21141,Logan County,"452,957",,,
46033,Custer County,"125,500",,,
33013,Merrimack County,"1,237,401",,,
42133,York County,"5,093,525",,,
37161,Rutherford County,"838,819",,,
46005,Beadle County,"284,611",,,
1043,Cullman County,"1,581,935",,,
13097,Douglas County,"2,019,406",,,
31097,Johnson County,"97,178",,,
