geo_id,county_name,named_wetlands,wetland_count
13047,Catoosa County,[],11
13049,Charlton County,['Charlton County Lake'],14
13051,Chatham County,"['Harveys Island', 'Ella Island', 'Raccoon Key', 'Little Don Island', 'Marsh Island', 'Walthour Swamp', 'Coldbrook Swamp', 'Hog Island']",165
13053,Chattahoochee County,[],6
13055,Chattooga County,[],19
13057,Cherokee County,[],16
13059,Clarke County,[],14
13061,Clay County,[],2
13063,Clayton County,['Pates Creek'],20
13065,Clinch County,"['Green Bay', 'Saw Bay', 'Arabia Swamp']",13
13067,Cobb County,[],18
13069,Coffee County,[],52
13071,Colquitt County,[],11
13073,Columbia County,"['Retention Pond', 'County Access Wetland']",13
13075,Cook County,[],8
13077,Coweta County,[],58
13079,Crawford County,[],90
13081,Crisp County,[],14
13083,Dade County,[],2
13085,Dawson County,[],6
13087,Decatur County,"['Fowlstown Swamp', 'The Level']",84
13089,DeKalb County,"['Beaver Pond', 'Howell Wetland']",22
13091,Dodge County,[],597
13093,Dooly County,['Cypress Pond'],173
13095,Dougherty County,[],11
13097,Douglas County,"['Upper Beaver Pond', 'Lower Beaver Pond', 'Geltner Swamp']",41
13099,Early County,"['Wamble Creek', 'Cypress Pond']",190
13101,Echols County,[],5
13103,Effingham County,['Coldbrook Swamp'],20
13105,Elbert County,[],8
13107,Emanuel County,[],5
13109,Evans County,[],41
13113,Fayette County,['Flat Creek Nature Area'],30
13115,Floyd County,[],29
13117,Forsyth County,[],54
13119,Franklin County,['Pritchett Swamp'],42
13121,Fulton County,[],40
13127,Glynn County,"['Turtle River Swamp', 'Buffalo Swamp', 'Turkey Swamp']",161
13129,Gordon County,[],5
13131,Grady County,"['Big Bay Swamp', 'Pritchard Pond']",62
13133,Greene County,[],19
13135,Gwinnett County,['Norman Downes Wetland'],75
13139,Hall County,[],6
13141,Hancock County,[],24
13143,Haralson County,[],19
13145,Harris County,[],7
13147,Hart County,[],5
13149,Heard County,[],5
13151,Henry County,['Southern States Lake'],84
13153,Houston County,['Hackney Lake'],298
13155,Irwin County,"['Sand Creek', 'Boggy Branch']",90
13157,Jackson County,[],35
13159,Jasper County,['Wetlands'],99
13161,Jeff Davis County,[],142
13163,Jefferson County,[],12
13165,Jenkins County,[],12
13167,Johnson County,[],46
13169,Jones County,[],26
13171,Lamar County,[],39
13173,Lanier County,"['Banks Lake', 'Grand Bay', 'Monk Pond', 'Fish Pond Bay']",26
13175,Laurens County,[],762
13177,Lee County,[],30
13179,Liberty County,"['Big Swamp', 'Goshen Swamp', 'Cedar Bay', 'Strum Bay']",192
13181,Lincoln County,[],3
13183,Long County,[],46
13185,Lowndes County,"['Zeigler Lake', 'Tylers Pond', 'Becky Bay']",109
13187,Lumpkin County,[],3
13189,McDuffie County,[],1
13191,McIntosh County,"['Little Broughton Island', 'Rabbit Island', 'Cottonbox Island', 'Piney Island']",68
13193,Macon County,[],119
13195,Madison County,[],20
13199,Meriwether County,[],32
13201,Miller County,"['Cook Pond', 'Davis Pond']",39
13205,Mitchell County,[],4
13207,Monroe County,[],53
13209,Montgomery County,[],83
13211,Morgan County,[],95
13213,Murray County,[],17
13215,Muscogee County,[],16
13217,Newton County,[],42
13219,Oconee County,[],16
13221,Oglethorpe County,[],30
13223,Paulding County,['Hannah Swamp'],49
13225,Peach County,[],48
13229,Pierce County,[],3
13231,Pike County,[],61
13233,Polk County,[],28
13235,Pulaski County,[],519
13237,Putnam County,[],30
13243,Randolph County,[],3
13245,Richmond County,[],37
13247,Rockdale County,[],22
13249,Schley County,[],4
13251,Screven County,[],33
13253,Seminole County,['Lewis Pond'],27
