countyCode,state,total_claims,total_building_damage,total_content_damage
20095,KS,9,479765.26,512800.0
20099,KS,100,1112777.23,486393.63
20103,KS,208,2371243.68,408945.48
20105,KS,2,4570.41,0.0
20107,KS,1,6602.37,2581.91
20111,KS,64,651934.02,318050.54
20113,KS,37,248496.98,61732.16
20115,KS,18,257141.82,15449.8
20117,KS,27,59814.98,41870.34
20119,KS,2,0.0,0.0
20121,KS,27,890987.91,188313.51
20123,KS,16,128325.07,25361.27
20125,KS,310,4604799.42,964407.11
20131,KS,2,24874.43,2833.67
20133,KS,99,1375324.41,114144.29
20135,KS,2,0.0,0.0
20139,KS,14,161481.87,10000.0
20141,KS,8,108900.0,58700.0
20143,KS,39,163505.64,3600.0
20145,KS,7,12501.18,0.0
20149,KS,72,331496.94,35657.49
20151,KS,12,1938.94,70.08
20155,KS,108,1131800.87,60473.29
20157,KS,9,63439.97,34879.29
20159,KS,26,292944.16,5418.26
20161,KS,404,8197673.07,1014918.0
20165,KS,7,16045.91,0.0
20169,KS,240,3682813.5,855447.99
20173,KS,983,12281260.72,1828628.51
20175,KS,39,113300.14,676.5
20177,KS,350,3186892.22,387145.51
20191,KS,208,2834813.13,532327.25
20193,KS,3,0.0,0.0
20197,KS,7,32080.04,1126.26
20201,KS,1,0.0,0.0
20205,KS,72,1425702.79,214232.1
20209,KS,430,5276937.68,5329285.85
21001,KY,1,37185.79,0.0
21003,KY,11,492823.45,103899.32
21005,KY,59,1183990.14,179389.05
21007,KY,45,489576.96,65437.56
21009,KY,21,107149.55,85418.21
21011,KY,100,1217326.32,188305.61
21013,KY,565,5374504.38,1944034.42
21015,KY,39,307741.27,64379.54
21017,KY,395,5539144.71,873160.08
21019,KY,461,5022074.66,1982505.95
21021,KY,15,149337.57,19307.89
21023,KY,113,1860331.36,92489.35
21025,KY,207,6307533.71,1292784.06
21027,KY,27,272133.03,53058.89
21029,KY,358,5552809.79,533946.62
21031,KY,34,512800.84,93905.84
21033,KY,11,135935.72,116928.04
21035,KY,28,865799.06,242881.35
21037,KY,450,5430164.41,395949.53
21039,KY,3,15327.51,0.0
21041,KY,70,1524538.87,88113.37
21043,KY,449,7172085.58,1553568.45
21045,KY,24,2406344.73,576914.64
21047,KY,978,16692912.14,4593649.13
21049,KY,288,5160933.27,884983.78
21051,KY,66,618453.06,78627.38
21055,KY,15,364152.6,5308.48
21057,KY,4,135000.0,30868.76
21059,KY,325,3308798.58,233411.2
21061,KY,1,436.4,0.0
21063,KY,2,10003.65,0.0
21065,KY,42,1011828.22,84842.87
21067,KY,453,4075906.57,1195084.71
21069,KY,49,680142.77,262713.97
21071,KY,2615,28847848.06,7891165.16
21073,KY,1518,27862339.23,4018506.69
21075,KY,25,332724.0,258288.66
21077,KY,33,410703.1,47323.14
21079,KY,23,918941.51,29115.8
21081,KY,2,4500.0,0.0
21083,KY,80,1222203.52,153858.94
21085,KY,6,145569.19,10266.12
21087,KY,3,150706.55,54375.06
21089,KY,713,8579819.55,2269446.23
21091,KY,11,52667.57,0.0
21093,KY,474,8973914.9,791025.56
21095,KY,440,1749271.72,576410.66
21097,KY,141,2961493.52,587425.24
21099,KY,11,215213.56,7070.04
21101,KY,380,5413094.54,856308.31
21103,KY,32,480904.47,93618.52
21105,KY,13,5476.6,675.0
21107,KY,72,1016511.79,160750.91
21109,KY,23,166139.46,18764.96
21111,KY,5548,87218713.44,11239398.75
21113,KY,176,3376839.41,721926.87
21115,KY,309,4419720.99,801194.43
21117,KY,286,2399657.83,270968.61
21119,KY,204,5166161.54,1401363.18
21121,KY,120,664742.26,227329.06
21123,KY,21,185500.5,16312.59
21125,KY,12,1059113.48,76281.61
21127,KY,32,396559.1,71147.77
21129,KY,33,1258126.4,49008.1
21131,KY,54,267933.38,94531.1
21133,KY,187,7095112.16,605647.01
21135,KY,116,1531447.25,457170.85
21137,KY,27,268781.62,93293.69
21139,KY,24,395378.16,102064.76
21141,KY,35,436093.17,63390.26
21145,KY,304,7151533.53,1371009.82
21147,KY,1,1568.66,0.0
21149,KY,134,1862450.23,117550.53
21151,KY,119,2205755.15,617627.11
21153,KY,260,1955029.93,817577.23
21155,KY,10,132549.4,3733.02
21157,KY,68,1012342.61,185048.68
21159,KY,462,4969796.55,1603685.44
21161,KY,16,134399.28,43969.76
21163,KY,15,789826.04,10057.64
21165,KY,17,850990.64,172487.92
21167,KY,182,3762652.29,999106.51
21169,KY,7,13481.5,3888.92
21171,KY,2,1872.07,0.0
21173,KY,75,963754.29,858995.28
21175,KY,49,745981.31,355249.13
21177,KY,15,217367.09,111365.55
21179,KY,121,2949723.49,496525.28
21181,KY,48,1170925.61,680214.93
21183,KY,15,175834.26,3849.27
21185,KY,1080,24517121.97,2558342.43
21187,KY,73,1305758.07,113001.81
21189,KY,6,64960.86,0.0
21191,KY,180,4996608.73,287797.1
21193,KY,594,7353689.3,2598341.11
21195,KY,2473,42620755.34,12858378.8
21197,KY,125,1550894.07,203434.4
21199,KY,29,731468.23,86241.52
21203,KY,19,456724.11,159054.3
21205,KY,291,4226353.19,787848.5
21207,KY,3,97669.63,6042.37
21209,KY,79,1524957.34,326033.16
21211,KY,31,252247.96,116288.84
21213,KY,24,773917.73,136724.55
21215,KY,52,726802.23,46530.15
21217,KY,8,273324.17,48848.72
21219,KY,10,139669.93,0.0
21221,KY,1,0.0,0.0
21223,KY,42,621913.13,55759.55
21225,KY,16,295862.24,32198.34
21227,KY,124,2092456.58,301198.85
21229,KY,32,696288.78,214833.74
21231,KY,1,3107.04,0.0
21233,KY,9,178617.39,69441.14
21235,KY,30,177416.84,35073.87
21237,KY,1,0.0,0.0
21239,KY,508,14346708.35,2503721.38
22001,LA,1480,31398581.2,4998797.16
22003,LA,442,7630142.83,1808678.92
22005,LA,6778,309236281.32,40040387.53
22007,LA,883,4622496.81,523562.69
22009,LA,1559,9949329.55,1719107.79
22011,LA,514,7065745.32,1603299.48
22013,LA,41,373055.76,112696.32
22015,LA,1098,21999782.49,3921722.58
22017,LA,2425,34735457.64,6762915.89
22019,LA,10377,263347874.43,58188074.9
22021,LA,490,4260991.87,995841.93
22023,LA,3470,159141866.13,43947718.16
22025,LA,1627,11550086.85,2877779.91
22027,LA,65,1392385.61,443872.35
22029,LA,1210,9398720.61,1842728.43
22029,TX,1,35296.84,0.0
22031,LA,39,727965.21,84311.18
22033,LA,22521,1141189686.34,169526667.6
22035,LA,116,1757092.94,229147.26
22037,LA,110,2515058.85,595468.7
22039,LA,286,5512180.53,862921.63
22041,LA,320,4480373.56,954141.33
22043,LA,438,4062133.87,1241123.3
22045,LA,2891,69247840.29,13939713.03
22047,LA,618,11066904.17,2603040.47
22049,LA,20,73674.97,27324.82
22051,LA,135477,2668718840.45,853438909.51
22053,LA,313,5395684.35,799474.84
22055,LA,6578,216625555.1,49480892.87
22057,LA,6122,79411929.87,19414820.88
22059,LA,271,2774557.09,648887.07
22061,LA,56,527025.39,67007.85
