plant_name,capacity_factor,annual_gen_gwh,co2_emissions_tons_yr,co2_per_gen,majority_owner,fuel_type,table_source,Former Fuel Type,New Fuel Type,Conversion Date,lat,lon,state_abbr,retired_date,capacity_mw
Erickson,,691 (2019),"765,200 (2019)","1,107 (2019)",Lansing Board of Water & Light,Sub-bituminous coal,table_2,,,,42.692414,-84.65747,MI,,155.0
Escalante,,"1,209 (2019)","1,292,447 (2018)",,TSGTA,Sub-bituminous coal,table_2,,,,35.41611,-108.08333,NM,,257.0
Frank E. Ratts,,,,,Hoosier Energy,Sub-bituminous coal,table_2,,,,38.52,-87.26722,IN,2014-12-29,250.0
G. G. Allen,,895 (2019),"974,310 (2019)","1,089 (2019)",Duke Energy,Bituminous coal,table_2,,,,35.19028,-81.00833,NC,,868.0
George F. Weaton,,,,,Horsehead Corporation,Sub-bituminous coal,table_2,,,,40.6672889,-80.3461194,PA,,110.0
Grainger,,,,,Central Electric Power Cooperative,Bituminous coal,table_2,,,,33.82583,-79.05278,SC,,170.0
Harding Street,,,,,AES Indiana,Bituminous coal,table_2,,,,39.70944,-86.19667,IN,,698.0
Harllee Branch,,,,,Georgia Power,Bituminous coal,table_2,,,,33.19389,-83.29972,GA,,1539.0
Hatfield's Ferry,,,,,FirstEnergy,Bituminous coal,table_2,,,,39.85556,-79.9275,PA,2013-10-09,1700.0
Henderson Station One [note 4],,,,,City of Henderson,Coal,table_2,,,,37.84,-87.59,KY,2008-12-31,44.0
Henderson Station Two [note 5],,,,,Henderson City Utility Commission,Bituminous coal,table_2,,,,37.646678,-87.501403,KY,,405.0
Homer City,29%,"6,828 (2019)","6,753,709 (2019)",989 2019,NRG Energy,Bituminous coal,table_2,,,,40.51083,-79.19361,PA,,2022.0
Hoot Lake,,319 (2019),"356,720 (2019)",1118 (2019),Otter Tail Power Company,Sub-bituminous coal,table_2,,,,46.290791,-96.043071,MN,,129.0
Indian River,,121 (2019),"207,103 (2019)","1,712 (2019)",NRG Energy,Bituminous coal,table_2,,,,38.585556,-75.234722,DE,,446.0
J.M. Stuart,,,,,Dynegy (39%),,table_2,,,,38.63778,-83.69306,OH,,2318.0
Johnsonville,,,,,Tennessee Valley Authority,,table_2,,,,36.02778,-87.98667,TN,,1500.0
Kenneth C. Coleman,,,,,Big Rivers Electric Corporation,Coal,table_2,,,,37.9625,-86.7917,KY,,521.0
Kintigh [note 6] [note 7],,,,,AES Corporation,Bituminous coal,table_2,,,,43.35806,-78.60389,NY,2020-03-31,675.0
Lewis & Clark,,263 (2019),"314,567 (2018)",,Montana-Dakota Utilities,Lignite,table_2,,,,47.678875,-104.157368,MT,,50.0
Martin Drake,,740 (2019),"1,046,153 (2018)",,City of Colorado Springs,Sub-bituminous coal,table_2,,,,38.824155,-104.831411,CO,,207.0
Mohave,,,,,Southern California Edison,Bituminous coal,table_2,,,,35.145,-114.58861,NV,,1636.0
Merrimack [note 8],,302 (2019),"264,399 (2018)",,Granite Shore Power,Bituminous coal,table_2,,,,43.14139,-71.46861,NH,,496.0
Monticello,,,,,Luminant,,table_2,,,,33.09111,-95.03806,TX,,1880.0
Muskingum River,,,,,American Electric Power,Bituminous coal,table_2,,,,39.58833,-81.6825,OH,,1529.0
Navajo,,,,,U.S. Bureau of Reclamation (24.3%),Bituminous coal,table_2,,,,36.90333,-111.39028,,,2250.0
Pleasant Prairie,,,8.6 million (2018),,WE energies,Coal,table_2,,,,42.53806,-87.90472,WI,,1210.0
R. Gallagher,,285 (2018),"349,403 (2018)",,Duke Energy,Bituminous coal,table_2,,,,38.26361,-85.83778,IN,,280.0
R. M. Heskett,,439 (2019),"645,998 (2018)",,Montana-Dakota Utilities,Lignite,table_2,,,,46.866894,-100.883989,ND,,100.0
River Rouge,,624 (2019),"690,194 (2018)",,Detroit Edison,Sub-bituminous coal,table_2,,,,42.270523,-83.124699,MI,,651.0
Rivesville,,,,,Monongahela Power Co,Bituminous coal,table_2,,,,39.531394,-80.112394,WV,,109.8
Roanoke Valley,,,,,Westmoreland Partners LLC,Bituminous coal,table_2,,,,36.4369,-77.616178,NC,,240.1
Rush Island,,"5,545 (2019)","7,206,695 (2018)",,Ameren,Refined coal,table_2,,,,38.13116,-90.262892,MO,,1242.0
Russell,,,,,Rochester Gas & Electric Corp,Coal (unknown),table_2,,,,43.265478,-77.633516,NY,,252.6
Sammis,,,,,Energy Harbor Generation LLC,Bituminous coal,table_2,,,,40.529167,-80.632083,OH,,2435.6
San Juan,30%,"4,716 (2019)","4,929,343 (2018)",,PNM Resources,Refined coal,table_2,,,,36.80167,-108.43861,NM,,847.0
Sandow,,,,,Luminant Generation Company LLC,Lignite,table_2,,,,30.567225,-70.784167,TX,,1615.1
Schiller,,,,,Energy Trading Innovations LLC,Bituminous coal,table_2,,,,43.096778,-70.784167,NH,,185.0
Scholz,,,,,NextEra Energy Inc,Bituminous coal,table_2,,,,30.669289,-84.887722,FL,,98.0
Shiras,,,,,City of Marquette (Michigan),Bituminous coal,table_2,,,,46.5312,-87.392,MI,,44.0
Sibley,,,,,Evergy Inc,Bituminous coal,table_2,,,,39.178717,-94.184169,MO,,504.0
Sims,,,,,Grand Haven Board of Power and Light,Bituminous coal,table_2,,,,43.071111,-86.23388,MI,,80.0
Silver Lake,,,,,Rochester Public Utilities,Coal,table_2,,,,44.028465,-92.460272,MN,,54.0
Somerset (Massachusetts),,,,,Somerset Power LLC,Bituminous coal,table_2,,,,41.7375,-71.145833,MA,,173.7
Somerset (New York),,,,,Riesling Power LLC,Bituminous coal,table_2,,,,43.356383,-78.603583,NY,,685.0
Southampton,,,,,Virginia Electric and Power,Coal (unknown),table_2,,,,36.652187,-76.994911,VA,,71.1
Spiritwood Industrial Park,,,,,Great River Energy Cooperative,Lignite,table_2,,,,46.925511,-98.502173,ND,,106.2
St. Clair,,,,,DTE Energy Co,Bituminous coal Sub-bituminous coal,table_2,,,,42.764161,-82.471553,MI,,1551.0
St. Johns River,,,,,JEA,Bituminous coal,table_2,,,,30.430933,-81.550969,FL,2018-01-08,1358.0
Stanton,,,,,Great River Energy Cooperative,Sub-bituminous coal,table_2,,,,47.286211,-101.332081,ND,,190.2
State Line,,,,,BTU Solutions,Bituminous coal,table_2,,,,41.7075,-87.52111,IN,2012-03-31,614.0
Stoneman [note 9],,,,,DTE Energy Services,Coal Biomass,table_2,,,,42.7079,-90.9843,WI,,35.0
Streeter,,,,,Cedar Falls Utilities,Coal,table_2,,,,42.526977,-92.439112,IA,,35.0
Stuart [note 10],,,,,AES Ohio LLC,Bituminous coal,table_2,,,,38.636153,-83.693769,OH,,2440.8
Sunbury,,,,,Sunbury Generation LP,Anthracite,table_2,,,,40.837961,-76.824311,PA,,437.9
Sutherland,,,,,Interstate Power and Light Co,Sub-bituminous coal,table_2,,,,42.047478,-92.859617,IA,,157.0
Sutton Steam Plant,,,,,Duke Energy Progress LLC,Bituminous coal,table_2,,,,34.282828,-77.986417,NC,,671.6
Taconite Harbor,,,,,ALLETE Inc,Bituminous coal,table_2,,,,47.531225,-90.911758,MN,,252.0
Tanner's Creek,,,,,Indiana Michigan Power,Bituminous coal,table_2,,,,39.08139,-84.86083,IN,2015-05-31,995.0
Tecumseh,,,,,Evergy Kansas Central Inc,Sub-bituminous coal,table_2,,,,39.053556,-95.568475,KS,,231.6
Titus,,,,,GenOn Holdings Inc,Bituminous coal,table_2,,,,40.3054,-75.908581,PA,,225.0
Tobaccoville,,,,,Reynolds American Inc,Coal,table_2,,,,36.2511,-80.3669,NC,,80.0
Trigen Syracuse [note 11],,,,,Dynegy Generation NA Inc,Bituminous coal,table_2,,,,43.065381,-76.208311,NY,,90.6
Tyrone,,,,,Kentucky Utilities Co,Bituminous coal,table_2,,,,38.0471,-84.848133,KY,,75.0
Utah Smelter [note 12],,,,,Kennecott Utah Copper LLC,Bituminous coal,table_2,,,,40.721589,-112.198006,UT,,132.0
Vermilion,,,,,Dynegy Midwest Generation Inc,Bituminous coal,table_2,,,,40.178055,-87.748055,IL,,182.3
W. H. Sammis,,"3,957 (2019)",,,Energy Harbor,Bituminous coal,table_2,,,,40.53,-80.63083,OH,,2220.0
Wabash [note 13],,,,,Wabash Valley Power Association Inc Duke Energy Indiana LLC,Bituminous coal [note 14],table_2,,,,39.527389,-87.423178,IN,,1164.7
Wansley,17%,"2,791 (2018)","2,704,960 (2018)",,Southern Power,Bituminous coal,table_2,,,,33.40611,-85.03806,GA,,1904.0
Warrior Run,,,,,AES Corporation,Bituminous coal,table_2,,,,39.59611,-78.74611,MD,,205.0
Warren,,,,,GenOn Holdings Inc,Bituminous coal [note 15],table_2,,,,41.835947,-79.18867,PA,,84.0
Watts Bar,,,,,Tennessee Valley Authority,Bituminous coal,table_2,,,,35.610778,-84.782167,TN,,240.0
Waukegan,,"1,194 (2019)","1,718,814 (2018)",,NRG Energy,Sub-bituminous coal,table_2,,,,42.382778,-87.820274,IL,,681.0
Weadock [note 16],,,,,The Vanguard Group Inc,Bituminous coal,table_2,,,,43.641447,-83.842706,MI,,312.6
Weatherspoon [note 17],,,,,Duke Energy Progress LLC,Bituminous coal,table_2,,,,34.589523,-78.975649,NC,,165.5
Whiting [note 18],,,,,Consumers Energy Co.,Bituminous coal,table_2,,,,41.791942,-83.449072,MI,,345.4
Widows Creek,,,,,Tennessee Valley Authority,Bituminous coal,table_2,,,,34.885422,-85.750939,AL,,1968.6
Will County,,,,,NRG Energy,Sub-bituminous coal,table_2,,,,41.633011,-88.061897,IL,,1268.8
William H. Zimmer,,,,,Vistra Corp,Coal,table_2,,,,38.86638,-84.22805,OH,,1351.0
Willow Island,,,,,FirstEnergy,Bituminous coal,table_2,,,,39.367571,-81.295226,WV,,213.2
Amalgamated Sugar Twin Falls,,52 (2019),"224,652 (2019)","4,320 (2019)",Amalgamated Sugar Company,,table_4,Bituminous coal,Natural gas,January 2021(Units 1500 & 2500) April 2023 (Unit 4000),42.53194,-114.43194,ID,,10.2
Archer Daniels Midland Des Moines,,25 (2019),"122,310 (2019)","4,892 (2019)",Archer Daniels Midland,,table_4,Sub-bituminous coal,Natural gas,February 2025,41.626111,-93.58325,IA,,7.9
