object_id,line_id,line_type,status,owner,voltage_kv,voltage_class,inferred,substation_1,substation_2,naics_desc,shape_length
48905,138486,AC; OVERHEAD,IN SERVICE,POTOMAC ELECTRIC POWER CO,230,220-287,N,AQUASCO,OAK GROVE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,37082.4733612446
48906,138494,AC; OVERHEAD,IN SERVICE,TENNESSEE VALLEY AUTHORITY,161,100-161,Y,BUFFALO ROAD,TAP152040,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,4186.91154646082
48907,138488,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,115,100-161,Y,UNKNOWN112149,UNKNOWN112151,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,3956.0131363706
48908,138489,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,161,100-161,Y,PALMYRA,TAP140628,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,11701.3635351657
48909,138490,AC; OVERHEAD,IN SERVICE,MIDAMERICAN ENERGY CO,161,100-161,Y,UNKNOWN130435,UNKNOWN130436,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,47623.4208167176
48910,138491,AC; OVERHEAD,IN SERVICE,"DUKE ENERGY FLORIDA, LLC",115,100-161,Y,UNKNOWN108295,TAP151437,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,5967.30991019188
48911,138492,AC; OVERHEAD,IN SERVICE,"DUKE ENERGY CAROLINAS, LLC",100,100-161,N,UNKNOWN114395,TIGER TIE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,10263.3200066573
48916,174673,AC; OVERHEAD,IN SERVICE,FLORIDA POWER & LIGHT CO,138,100-161,Y,UNKNOWN172422,TAP172423,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,116.582732372833
48922,138505,AC; OVERHEAD,IN SERVICE,CENTRAL MAINE POWER CO,115,100-161,Y,WESTBROOK,SPRING STREET,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,2147.14628187884
48924,138507,AC; OVERHEAD,IN SERVICE,KCP&L GREATER MISSOURI OPERATIONS CO.,161,100-161,Y,UNKNOWN117446,SAINT JOSEPH,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,9730.71766097919
48925,138510,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,115,100-161,Y,UNKNOWN115728,TAP143061,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,2754.29005246803
48926,138512,AC; OVERHEAD,NOT AVAILABLE,ALABAMA POWER CO,230,220-287,Y,PLANT GASTON,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,139.245010794732
48928,162361,AC; OVERHEAD,IN SERVICE,ENTERGY ARKANSAS INC,115,100-161,N,UNKNOWN108076,WOODWARD SUBSTATION,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,6824.73516314776
48929,138515,AC; OVERHEAD,IN SERVICE,ENTERGY LOUISIANA INC,230,220-287,Y,TAP143178,LAKESHORE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,4058.3252725398
48930,138516,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,115,100-161,Y,UNKNOWN111352,TAP142624,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,4355.56711428479
48931,138504,OVERHEAD,IN SERVICE,CITY OF AMES - (IA),161,100-161,Y,IOWA STATE UNIVERSITY,UNKNOWN132120,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,5457.80823892236
48932,138517,AC; OVERHEAD,IN SERVICE,AMERICAN TRANSMISSION CO,138,100-161,N,RUBICON,CONCORD SW YD,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,28963.9483538314
48933,138518,AC; OVERHEAD,IN SERVICE,NORTHERN STATES POWER CO - WISCONSIN,161,100-161,N,DPC BELL CENTER,UNKNOWN159041,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,74321.1169655241
48934,138519,AC; OVERHEAD,IN SERVICE,ALABAMA POWER CO,115,100-161,Y,UNKNOWN110146,UNKNOWN110147,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,3814.28229887831
48938,138523,AC; OVERHEAD,IN SERVICE,OKLAHOMA GAS & ELECTRIC CO,138,100-161,Y,UNKNOWN119705,TAP149061,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,1504.90986097859
48939,162364,AC; OVERHEAD,IN SERVICE,ENTERGY MISSISSIPPI INC,161,100-161,Y,UNKNOWN111285,TAP159895,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,10739.6276019221
48941,138526,AC; OVERHEAD,IN SERVICE,OTTER TAIL POWER CO,115,100-161,N,UNKNOWN130670,TAP134740,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,688.489827766474
48942,162365,AC; OVERHEAD,IN SERVICE,ENTERGY MISSISSIPPI INC,161,100-161,Y,UNKNOWN159894,TAP159895,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,51.2964794945734
48945,138528,AC; OVERHEAD,IN SERVICE,"DUKE ENERGY CAROLINAS, LLC",100,100-161,N,UNKNOWN116116,TAP153938,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,135.161389635677
48946,138530,AC; OVERHEAD,IN SERVICE,CONSUMERS ENERGY CO,138,100-161,Y,UNKNOWN128620,BEECHER,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,76393.7674132117
48947,138531,AC; OVERHEAD,IN SERVICE,ROCHESTER GAS & ELECTRIC CORP,115,100-161,Y,TAP138436,TAP138445,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,26950.5748688344
48950,138535,AC; OVERHEAD,IN SERVICE,"DUKE ENERGY CAROLINAS, LLC",100,100-161,Y,UNKNOWN114554,TAP154208,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,3989.67374602376
48952,138537,AC; OVERHEAD,IN SERVICE,"DUKE ENERGY CAROLINAS, LLC",100,100-161,Y,UNKNOWN114237,UNKNOWN114572,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,3802.78043316557
48954,138543,AC; OVERHEAD,IN SERVICE,MONONGAHELA POWER CO,138,100-161,Y,UNKNOWN108834,TAP138753,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,16816.2603938204
48957,138547,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,115,100-161,Y,UNKNOWN113559,UNKNOWN115674,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,14466.1671947781
48958,138548,AC; OVERHEAD,NOT AVAILABLE,TENNESSEE VALLEY AUTHORITY,161,100-161,Y,WIDOWS CREEK,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,257.951161081327
48961,174674,AC; OVERHEAD,IN SERVICE,GULF POWER CO,115,100-161,Y,VALPARAISO,UNKNOWN172424,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,917.551851868888
48962,138554,AC; OVERHEAD,IN SERVICE,TENNESSEE VALLEY AUTHORITY,500,500,Y,WIDOWS CREEK,WIDOWS CREEK 500KV,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,432.576403885112
48963,138555,AC; OVERHEAD,NOT AVAILABLE,GEORGIA TRANSMISSION CORP,230,220-287,N,UNKNOWN113410,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,511.064894640466
48965,162367,AC; OVERHEAD,IN SERVICE,ENTERGY MISSISSIPPI INC,161,100-161,Y,TAP159895,TAP159899,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,14059.2197788382
48966,138558,AC; OVERHEAD,IN SERVICE,"DUKE ENERGY FLORIDA, LLC",115,100-161,Y,UNKNOWN107674,SUWANNEE RIVER,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,1791.8879382412
48967,138545,AC; OVERHEAD,IN SERVICE,ENTERGY MISSISSIPPI INC,115,100-161,Y,UNKNOWN110701,UNKNOWN110702,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,19441.9721232514
48968,138562,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,115,100-161,Y,ATHENA,TAP154606,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,6218.56950592204
48970,138561,OVERHEAD,NOT AVAILABLE,PROGRESS ENERGY CAROLINAS INC,115,100-161,Y,ELIZABETHTOWN POWER LLC,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,56.16921076375
48971,138559,AC; OVERHEAD,IN SERVICE,VIRGINIA ELECTRIC & POWER CO,115,100-161,N,UNKNOWN121434,TAP138723,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,1407.92346738103
48972,138568,AC; OVERHEAD,IN SERVICE,MONONGAHELA POWER CO,138,100-161,Y,UNKNOWN108765,TAP138744,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,11866.7300699642
48973,162368,AC; OVERHEAD,IN SERVICE,ENTERGY MISSISSIPPI INC,161,100-161,Y,UNKNOWN159898,TAP159899,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,125.967937559643
48976,138566,AC; OVERHEAD,IN SERVICE,SOUTH CAROLINA ELECTRIC&GAS CO,115,100-161,Y,UNKNOWN117831,TAP151705,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,9329.45583908628
48977,162369,AC; OVERHEAD,IN SERVICE,ENTERGY MISSISSIPPI INC,161,100-161,Y,TAP159896,TAP159899,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,1716.02070792923
48980,138576,AC; OVERHEAD,IN SERVICE,ALABAMA POWER CO,115,100-161,Y,TAP141877,HARGROVE ROAD D.S.,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,63.5310826401739
48981,162370,AC; OVERHEAD,IN SERVICE,ENTERGY MISSISSIPPI INC,161,100-161,Y,TAP159896,UNKNOWN159897,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,72.5085265404061
48983,138580,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,115,100-161,Y,UNKNOWN116045,UNKNOWN116134,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,9433.98786273685
48985,138582,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,115,100-161,Y,UNKNOWN108174,TAP142403,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,2241.88869139177
48986,138584,AC; OVERHEAD,IN SERVICE,PROGRESS ENERGY CAROLINAS INC,230,220-287,Y,CLINTON,MT. OLIVE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,29697.3625091392
48987,138585,AC; OVERHEAD,IN SERVICE,EMERA MAINE,115,100-161,Y,UNKNOWN136690,BOGGY BROOK,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,29428.7495460712
48988,162382,AC; OVERHEAD,IN SERVICE,ENTERGY MISSISSIPPI INC,161,100-161,N,TAP159896,TAP159900,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,2154.72748297615
48989,138586,AC; OVERHEAD,IN SERVICE,AMEREN ILLINOIS COMPANY,138,100-161,Y,DECATUR EAST MAIN STREET,TAP139417,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,1627.70164072055
48990,138589,AC; OVERHEAD,IN SERVICE,"DUKE ENERGY CAROLINAS, LLC",100,100-161,Y,UNKNOWN110753,UNKNOWN110755,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,955.666805826884
48991,138590,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,138,100-161,Y,CLOVERPORT,CANNELTON HYDROELECTRIC PLANT,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,16789.9750060561
48993,138592,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,115,100-161,Y,TAP142126,KRAFT SUBSTATION,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,6616.98778783481
48994,138583,AC; OVERHEAD,IN SERVICE,TENNESSEE VALLEY AUTHORITY,161,100-161,Y,SOUTH COOKEVILLE,TAP155431,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,10717.4520405965
48995,138593,AC; OVERHEAD,IN SERVICE,ALABAMA POWER CO,115,100-161,Y,UNKNOWN110292,TAP145806,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,173.864173715765
