Name,State,Location,Capacity(MW),Capacity Factor,Annual Generation (GWh),CO2 emissions (Tons/year) [2][3],CO2 emissions/ Annual Generation,Majority Owner,Fuel type,Retired,Ref
Warrior Run,Maryland,39°35′46″N 78°44′46″W﻿ / ﻿39.59611°N 78.74611°W,205,,,,,AES Corporation,Bituminous coal,June 2024,[165]
Warren,Pennsylvania,41°50′09″N 79°11′19″W﻿ / ﻿41.835947°N 79.18867°W,84,,,,,GenOn Holdings Inc,Bituminous coal [note 15],2002,[166]
Watts Bar,Tennessee,35°36′39″N 84°46′56″W﻿ / ﻿35.610778°N 84.782167°W,240,,,,,Tennessee Valley Authority,Bituminous coal,2011,[167]
Waukegan,Illinois,42°22′58″N 87°49′13″W﻿ / ﻿42.382778°N 87.820274°W,681,,"1,194 (2019)","1,718,814 (2018)",,NRG Energy,Sub-bituminous coal,June 2022,[168][169][170][171]
Weadock [note 16],Michigan,43°38′29″N 83°50′34″W﻿ / ﻿43.641447°N 83.842706°W,312.6,,,,,The Vanguard Group Inc,Bituminous coal,2016,[172]
Weatherspoon [note 17],North Carolina,34°35′22″N 78°58′32″W﻿ / ﻿34.589523°N 78.975649°W,165.5,,,,,Duke Energy Progress LLC,Bituminous coal,2011,[173]
Whiting [note 18],Michigan,41°47′31″N 83°26′57″W﻿ / ﻿41.791942°N 83.449072°W,345.4,,,,,Consumers Energy Co.,Bituminous coal,April 2016,[174]
Widows Creek,Alabama,34°53′08″N 85°45′03″W﻿ / ﻿34.885422°N 85.750939°W,1968.6,,,,,Tennessee Valley Authority,Bituminous coal,September 2015,[175]
Will County,Illinois,41°37′59″N 88°03′43″W﻿ / ﻿41.633011°N 88.061897°W,1268.8,,,,,NRG Energy,Sub-bituminous coal,June 2022,[176]
William H. Zimmer,Ohio,38°51′59″N 84°13′41″W﻿ / ﻿38.86638°N 84.22805°W,1351,,,,,Vistra Corp,Coal,May 2022,[177][178][179][180][181]
Willow Island,West Virginia,39°22′03″N 81°17′43″W﻿ / ﻿39.367571°N 81.295226°W,213.2,,,,,FirstEnergy,Bituminous coal,2012,[182]
